service-java-1  | 2026-09-08T10:51:27.060+08:00 ERROR 1 --- [service-java] [w-auto-manage-1] rkflowWeightsFederatedAggregationService : Weights FedAvg v1 failed: workflowId=35, triggerSource=weights-v1-upload-success, reason=参与联邦聚合的权重不属于当前工作流 ModelDefinition。
service-java-1  | 
service-java-1  | com.workflow.exception.BusinessException: 参与联邦聚合的权重不属于当前工作流 ModelDefinition。
service-java-1  | 	at com.workflow.service.impl.WorkflowWeightsFederatedAggregationService.validateTrustedIdentity(WorkflowWeightsFederatedAggregationService.java:255) ~[!/:0.0.1-SNAPSHOT]
service-java-1  | 	at com.workflow.service.impl.WorkflowWeightsFederatedAggregationService.validateAndBuildInputs(WorkflowWeightsFederatedAggregationService.java:204) ~[!/:0.0.1-SNAPSHOT]
service-java-1  | 	at com.workflow.service.impl.WorkflowWeightsFederatedAggregationService.triggerIfReady(WorkflowWeightsFederatedAggregationService.java:103) ~[!/:0.0.1-SNAPSHOT]
service-java-1  | 	at com.workflow.service.impl.WorkflowModelUploadServiceImpl.decryptModelFile(WorkflowModelUploadServiceImpl.java:721) ~[!/:0.0.1-SNAPSHOT]
service-java-1  | 	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(Unknown Source) ~[na:na]
service-java-1  | 	at java.base/java.lang.reflect.Method.invoke(Unknown Source) ~[na:na]
service-java-1  | 	at org.springframework.aop.support.AopUtils.invokeJoinpointUsingReflection(AopUtils.java:359) ~[spring-aop-6.2.7.jar!/:6.2.7]
service-java-1  | 	at org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ReflectiveMethodInvocation.java:196) ~[spring-aop-6.2.7.jar!/:6.2.7]
service-java-1  | 	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:163) ~[spring-aop-6.2.7.jar!/:6.2.7]
service-java-1  | 	at org.springframework.transaction.interceptor.TransactionAspectSupport.invokeWithinTransaction(TransactionAspectSupport.java:380) ~[spring-tx-6.2.7.jar!/:6.2.7]
service-java-1  | 	at org.springframework.transaction.interceptor.TransactionInterceptor.invoke(TransactionInterceptor.java:119) ~[spring-tx-6.2.7.jar!/:6.2.7]
service-java-1  | 	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:184) ~[spring-aop-6.2.7.jar!/:6.2.7]
